"product_name","countries_en","additives_n","pnns_groups_2","energy_100g","fat_100g","saturated.fat_100g","carbohydrates_100g","proteins_100g","sodium_100g","nutrition.score.fr_100g","nutrition.score.uk_100g"
"Chaussons tressés aux pommes","Other",5,"Biscuits and cakes",1090,10.7,2,38.7,3.33,0.255,9,9
"Luxury Christmas Pudding","UK",5,"Biscuits and cakes",1284,7,3.6,54.2,3.9,0.0787,10,10
"Madeleines nature","France",5,"Biscuits and cakes",1900,23,2.5,55,6,0.259842519685039,12,12
"Cakes Raisins","France",5,"Biscuits and cakes",1768,19,2.5,56,5.8,0.255905511811024,13,13
"Cakes aux Fruits","France",11,"Biscuits and cakes",1670,15,2,60,4.9,0.236220472440945,12,12
"Financiers aux Amandes","France",3,"Biscuits and cakes",1868,23,10,51,8,0.216535433070866,22,22
"Fondants Citron","France",8,"Biscuits and cakes",1896,24,10,50,8.1,0.307086614173228,22,22
"30 Panach' Fruits","France",10,"Biscuits and cakes",1724,18,2,57,5,0.248031496062992,13,13
"Stem Ginger Dunkers","France",5,"Biscuits and cakes",1981,20.8,13.7,63.6,6.1,0.224409448818898,20,20
"Bijou Caramel ChocoLait","France",8,"Biscuits and cakes",1807,20,5,57,5.3,0.275590551181102,19,19
"Pur Soup' Velouté de légumes","France",1,"Soups",188,2.1,0.7,5.3,0.8,0.295275590551181,2,2
"Mild Cheddar with Onions & Chives","France",0,"Cheese",1618,32.9,19.7,1.4,21.7,0.602362204724409,14,19
"Mini Crêpes ChocoLait","France",2,"Biscuits and cakes",2018,18,11,72,6.7,0.078740157480315,24,24
"Reduced Fat Belgian Chocolate Chunk Cookies","France",6,"Biscuits and cakes",1928,17.7,10.1,68.5,5.1,0.318897637795276,24,24
"All Butter Reduced Fat Stem Ginger Cookies","France",6,"Biscuits and cakes",1809,13.3,7,70.2,6.1,0.326771653543307,18,18
"Christmas Pudding","UK",4,"Biscuits and cakes",1324,4.9,2.9,62.9,2.3,0.0787,10,10
"Christmas Pudding","UK",4,"Biscuits and cakes",1324,4.9,2.9,62.9,2.3,0.0787,10,10
"Orange & Cranberry Pudding","UK",8,"Biscuits and cakes",1371,8.6,3,57.1,3.2,0.106,12,12
"Milano dulce de leche","USA",4,"Biscuits and cakes",2130,27.4,15.7,62.7,3.92,0.176,24,24
"Milano Distinctive Cookies","USA",3,"Biscuits and cakes",2260,30.6,14.1,61.1,7.05,0.247,21,21
"Milano Dark Chocolate","USA",3,"Biscuits and cakes",2210,26.5,11.8,64.7,5.88,0.176,20,20
"Milano Orange Flavored Chocolate","USA",3,"Biscuits and cakes",2180,28,20,64,4,0.26,20,20
"Tahoe White Chocolate Macadamia","USA",3,"Biscuits and cakes",2090,23.1,13.5,65.4,3.85,0.231,26,26
"Sausalito Milk Chocolate Macadamia","USA",3,"Biscuits and cakes",2090,23.1,13.5,65.4,3.85,0.231,26,26
"Milano Cookies-Mint Chocolate","USA",3,"Biscuits and cakes",2180,28,16,64,4,0.14,19,19
"Chessmen","USA",3,"Biscuits and cakes",1930,19.2,11.5,69.2,7.69,0.308,17,17
"Chocolate Chunk Crispy Cookies - Dark Chocolate Pecan","France",7,"Biscuits and cakes",2269,32.4,12.8,57.8,5.1,0.315,21,21
"Chocolate Chunk Dark Double Chocolate Crispy Cookies","Other",8,"Biscuits and cakes",2131,25.3,13.9,66.5,3.8,0.31496062992126,21,21
"Chocolate Chunk Milk Chocolate Macadamia Crispy Cookies","Other",6,"Biscuits and cakes",2230,30.4,14.3,60.1,4.9,0.275590551181102,21,21
"Chocolate Chunk White Chocolate Macadamia Crispy Cookies","France",6,"Biscuits and cakes",2238,31.3,13.9,58.7,5,0.31496062992126,20,20
"Soft Baked Chocolate Chunk Dark Chocolat Brownie","France",8,"Biscuits and cakes",1946,19.2,10.6,67.3,5.3,0.196850393700787,21,21
"Soupe Tom Yum aux légumes","France",1,"Soups",307,5.33,2,5,1.33,0.247,1,1
"milk chocolate rich tea biscuits","UK",7,"Biscuits and cakes",2034,20.2,10.3,68,6.7,0.189,22,22
"Brins de ChocoCaramel","France",4,"Biscuits and cakes",1960,16,9.5,75,5,0.110236220472441,24,24
"Orange & Cranberry Pudding","UK",8,"Biscuits and cakes",1383,9.8,3.5,55,3.2,0.11,11,11
"Welsh Slate Cavern Aged Cheddar","UK",0,"Cheese",1681,33,20.1,3,23.8,0.700787401574803,17,22
"Chocolate Chunk & Chip","USA",5,"Biscuits and cakes",1870,18.4,9.21,63.2,2.63,0.355,22,22
"Shredded Mild Cheddar Cheese","USA",2,"Cheese",1640,32.1,17.9,3.57,25,0.643,16,21
"Shortbread Cookies","Other",3,"Biscuits and cakes",2040,23.3,5.81,67.4,4.65,0.535,17,17
"Primo Taglio Genoa Salame","USA",3,"Processed meat",1270,21.4,7.14,1.79,25,1.64,20,20
"Cooked Ham","USA",3,"Processed meat",450,3.57,0,3.57,17.9,0.643,3,3
"Cinnamon Schoolbook Cookies","USA",3,"Biscuits and cakes",1810,13.3,6.67,76.7,6.67,0.233,14,14
"Fresh Creamy Goat's Cheese","UK",0,"Cheese",1225,23,16.3,1,21,0.48,13,18
"Snack Pack Tapioca Pudding ","USA",2,"Biscuits and cakes",500,2.72,1.63,21.7,1.09,0.136,5,5
"Gaufrettes fines","France",1,"Biscuits and cakes",2056,21,13,69,6.1,0.204724409448819,23,23
"Panettone","Other",3,"Biscuits and cakes",1595,16.4,9.6,50.9,7.2,0.118110236220472,18,18
"Pandoro - Italian Speciality Cake","France",1,"Biscuits and cakes",1618,17.5,9.5,49.6,7.5,0.118110236220472,16,16
"Vanilla Wafers","USA",4,"Biscuits and cakes",586,5,1.5,22,1,0.12,3,3
"New York Deli Style baked Cheesecake","USA",4,"Biscuits and cakes",1340,20.8,13.6,25.6,5.6,0.176,18,18
"Buffalo Wing","USA",2,"Cheese",1640,32.1,17.9,3.57,21.4,0.964,19,24
"6 Pork & Bramley Apple Sausages","France",3,"Processed meat",1023,19.2,7,5.5,12.4,0.464566929133858,14,14
"Pure butter shortbread","UK",2,"Biscuits and cakes",2226,30.3,18.9,58.4,5.6,0.275590551181102,20,20
"Pure Butter Chocolate Chip Shortbread","France",3,"Biscuits and cakes",2168,27.6,17.2,61.3,5.2,0.275590551181102,22,22
"shortbread","UK",2,"Biscuits and cakes",2230,30.9,19.8,56.9,6,0.267716535433071,18,18
"shortbread fingers","UK",2,"Biscuits and cakes",2178,28.1,17.6,61.6,4.5,0.255905511811024,20,20
"Biscuits à l'avoine aux myrtilles et à la vanille","France",5,"Biscuits and cakes",1881,17.2,1.6,60.5,7.6,0.0393700787401575,1,1
"Goat Milk Cheese","USA",0,"Cheese",1050,21.4,14.3,0,14.3,0.321,11,16
"Light Garlic & Herb","USA",4,"Cheese",695,7.14,4.76,4.76,9.52,0.905,12,17
"Christmas Pudding","UK",7,"Biscuits and cakes",1293,5.1,2.7,60.7,2.8,0.0787,10,10
"Monterey Jack Whole Milk Cheese ","USA",0,"Cheese",1640,32.1,17.9,3.57,25,0.464,14,19
"Luxury Fruit & Nut Christmas Pudding","UK",4,"Biscuits and cakes",1298,9.5,4.2,59.4,3.3,0.114,13,13
"Oreo","USA",4,"Biscuits and cakes",1970,20.6,5.88,73.5,2.94,0.397,19,19
"Newtons Fruit Thins","USA",3,"Biscuits and cakes",1890,16.1,3.23,71,6.45,0.29,11,11
"Belvita Golden Oat","USA",5,"Biscuits and cakes",1920,16,1,70,8,0.44,8,8
"Newtons Fig","USA",6,"Biscuits and cakes",1480,6.45,0,71,3.23,0.355,10,10
"Oreo","USA",4,"Biscuits and cakes",1970,20.6,5.88,73.5,2.94,0.397,19,19
"Golden Oreo","Other",3,"Biscuits and cakes",1970,20.6,5.88,70.6,2.94,0.353,20,20
"Oreo smile","Other",4,"Biscuits and cakes",1980,19.3,6.14,71.9,3.51,0.421,18,18
"Cinnamon Bun OREO","USA",3,"Biscuits and cakes",2170,24.1,8.62,72.4,3.45,0.241,25,25
"Oreo","USA",4,"Biscuits and cakes",1970,20.6,5.88,73.5,2.94,0.397,19,19
"Nutter Butter 12 packs","USA",4,"Biscuits and cakes",2050,20.8,4.72,69.8,7.55,0.377,19,19
"Lean Boiled Ham","USA",7,"Processed meat",458,3.12,0.781,0,18.8,0.922,11,11
"Bologna made with Chicken & Pork","USA",7,"Processed meat",1200,25,8.93,3.57,10.7,0.893,20,20
"Ravens Oak Goat's Cheese","UK",0,"Cheese",1250,25,17,0.1,19,0.5,13,18
"Natural Aged Swiss Cheese","USA",1,"Cheese",1630,27.8,16.7,0,27.8,0.194,11,16
"Natural Swiss Sliced Cheese","USA",0,"Cheese",1640,28.6,17.9,3.57,32.1,0.214,11,16
"Chocolate Chip Cookies","Other",6,"Biscuits and cakes",2080,24.6,12.4,61.7,5.7,0.228346456692913,21,21
"6 scones aux raisins de Smyrne","France",5,"Biscuits and cakes",1472,10.9,6.8,55.3,6.7,0.531496062992126,17,17
"Chocolate Chip Cookie Dough","USA",5,"Biscuits and cakes",1760,23.7,10.5,57.9,5.26,0.395,26,26
"Creamy Cheddar Cheese Sauce","USA",4,"Cheese",488,10,5,5,1.67,0.617,10,11
"Quattro Formaggio","USA",2,"Cheese",1490,28.6,17.9,0,28.6,0.786,17,22
"Double Chocolate Muffin Mix","Other",3,"Biscuits and cakes",1895,16.1,8.2,69.4,5.9,0.1,21,21
"Organic Tomato & Roasted Red Pepper Soup","USA",1,"Soups",174,0.833,0.625,6.67,2.08,0.312,2,2
"Frosted Lotta Chocolatta","USA",4,"Biscuits and cakes",1690,9.62,5.77,73.1,5.77,0.25,17,17
"fairtrade brazil nut cookies","France",2,"Biscuits and cakes",2235,31.7,15.2,54,7,0.27,18,18
"Hobnobs","Other",1,"Biscuits and cakes",1950,20,8.33,60,6.67,0.333,16,16
"100% parmesan","Other",2,"Cheese",251,2.5,1.5,2,7,0.2,-2,-2
"Bouchées Coffee Crisp Bites","Other",3,"Biscuits and cakes",2230,30,16.7,60,6.67,0.0833,26,26
"Biscuits au gingembre","Other",1,"Biscuits and cakes",2010,18.5,9.26,77.8,3.7,0.111,23,23
"Fine milled oatcakes ","UK",1,"Biscuits and cakes",1993,19.9,8.6,55,10.9,0.65748031496063,15,15
"Le Populaire","Other",1,"Cheese",1530,26.7,20,3.33,23.3,0.7,16,21
"Pizzelle Anise","USA",1,"Biscuits and cakes",1950,20,1.67,63.3,10,0.0833,11,11
"Christmas Pudding","UK",7,"Biscuits and cakes",1293,5.1,2.7,60.7,2.8,0.0787,10,10
"Célébration biscuits a la crème feuille d'érable","Other",2,"Biscuits and cakes",2020,17.2,8.62,75.9,3.45,0.241,25,25
"Leclerc Célébration","Other",2,"Biscuits and cakes",2280,30.3,18.2,60.6,6.06,0.152,20,20
"Style de vie Peek Freans chocolat noir rehaussé de cerises","Other",3,"Biscuits and cakes",1880,17.2,3.45,69,6.9,0.293,11,11
"BelVita Petit-déjeuner Avoine aux bananes et chocolat tendres","Other",5,"Biscuits and cakes",1590,12,4,66,6,0.34,9,9
"All butter Scottish shortbread fingers ","UK",3,"Biscuits and cakes",2160,27.9,17.2,59.6,5.5,0.256,21,21
"Oatmeal Cookies","USA",7,"Biscuits and cakes",1880,20,5,65,5,0.25,6,6
"Chaussons aux pommes","Other",5,"Biscuits and cakes",1460,21.7,8.7,34.8,4.35,0.185,15,15
"Luxury Fruit & Nut Christmas Pudding","UK",4,"Biscuits and cakes",1289,8.4,4.2,52.8,3.3,0.114,12,12
"Christmas Pudding","UK",7,"Biscuits and cakes",1293,5.1,2.7,60.7,2.8,0.0787,10,10
"Le Gruyère","Other",0,"Cheese",1640,32.1,17.9,0,28.6,0.607,15,20
"Finger l'Original","France",4,"Biscuits and cakes",2140,24.8,13.5,63.6,6.7,0.15748031496063,21,21
"Cadbury Fingers Milk Chocolate Biscuits","Other",3,"Biscuits and cakes",2159,27.1,14.8,60,7.3,0.157,21,21
"Finger blanc","France",4,"Biscuits and cakes",2165,27.9,15.4,59.7,6.1,0.236220472440945,22,22
